,Y,X
1251,12432.775595310803,7371.479881524053
1252,6079.493859923253,4375.944747641612
1253,9837.219535540966,7262.391927210867
1254,11285.719010158205,7908.896433804818
1255,15688.065376675111,10559.543255969056
1256,10834.821938791398,5474.191932693239
1257,26287.021269906436,17854.668203835325
1258,21389.744881687016,13666.494814864222
1259,31467.56829055624,19450.020604315967
1260,23134.401622344903,15041.89627925729
1261,16366.256918875428,9927.956446417042
1262,7280.253970738441,5111.627736371914
1263,16110.723436654804,12342.226706606993
1264,6290.570502164014,4318.071915693186
1265,16489.29525418114,9918.997607724878
1266,22064.799015516306,12800.578597981455
1267,26587.859529315287,17860.540340946758
1268,4431.644189459232,3483.3951027555017
1269,20159.350410165214,12030.845056291628
1270,26299.21970186038,15978.438669568495
1271,23082.324025969832,15160.617297286886
1272,10608.10270840668,6909.505797220316
1273,16046.41812254139,10695.902037154154
1274,17547.72326199953,10446.878859168482
1275,28719.450693770534,16737.549064395887
1276,4227.536527676049,3280.607030068021
1277,29500.078961045714,18228.48933922198
1278,24052.329788568495,14686.035626290997
1279,19849.420458717872,12352.598107876525
1280,1153.0677244711987,716.8747192812801
1281,18592.066102085024,10657.960860441546
1282,11819.135277023192,4326.914022946098
1283,4631.746459351337,3581.053428853526
1284,9391.234420006002,7147.025873035141
1285,8973.751439030724,6164.705674629338
1286,29949.997802410122,17230.79940471899
1287,10692.001882078703,6179.8488373638
1288,23637.270213089203,13517.23408077538
1289,25105.11278079186,17052.950433534155
1290,10039.55210137455,8421.5686927677
1291,29528.885089933843,18091.35273696103
1292,21143.113394805096,12269.636389276462
1293,13978.812577723505,11349.260642098792
1294,22845.69283608683,14794.271233768839
1295,24605.914576790517,15472.66297560056
1296,19395.51080843404,10826.502805893993
1297,29552.939200059584,19752.777420555194
1298,25956.150656860405,17396.444069993933
1299,5733.099107476034,3785.5340979115304
1300,5044.053503451858,2086.9538669874782
1301,6180.919950379538,3838.385790834024
1302,29568.94859049801,16510.449675325533
1303,4764.488102998897,3577.9773158716143
1304,26759.82891694123,17961.764172932697
1305,15573.94175559001,13343.472741611273
1306,16453.744643731723,11677.583688451166
1307,25087.637867158275,16726.671168482597
1308,24407.86550315618,14924.397154151447
1309,11314.097423114887,4059.336163085432
1310,20229.536299888983,12769.01741660469
1311,9538.076696215781,5319.0022000652525
1312,10653.044115694269,7703.631474706053
1313,3261.19056269847,2170.92571320836
1314,9166.385880001219,7428.000000090037
1315,18521.180146303694,11181.309711315947
1316,11480.861981351469,5804.561239308653
1317,5682.3244336312155,3983.4398260922326
1318,7564.3573333245495,5517.042891197674
1319,12810.899973707392,9163.063390762138
1320,6171.122306061954,4449.795248005025
1321,20289.75234144062,11537.54748465862
1322,7204.992445887374,2937.49426396231
1323,15874.141977065989,9439.563908328913
1324,9470.33603997295,6145.578613754181
1325,5634.1795172241655,2041.2832980847288
1326,30157.737003101363,18660.121863584038
1327,31412.936664477125,19840.665307422198
1328,8573.2152334804,6087.631598282112
1329,13893.021201280413,9623.653010090165
1330,21502.18131819535,13414.807401703109
1331,16623.072196222984,10118.0309157414
1332,26657.723632667752,17918.499162900276
1333,11070.437898913959,5294.513682943355
1334,10303.844530907416,7319.694790145981
1335,15974.344384863838,12679.480493695648
1336,20376.690751380745,13880.110663083335
1337,15535.750343439928,10678.064411313275
1338,14785.725379285841,12084.372659277018
1339,8044.672698873707,6576.391040061244
1340,18122.49610774294,13107.968680226051
1341,10809.33921994348,8695.818987969784
1342,6758.793616520971,5565.294040295426
1343,4762.513043610448,3149.2130279718194
1344,9656.637047581098,5114.61192392984
1345,3266.547012466719,2968.5648108928663
1346,6038.014924668796,4863.906113940516
1347,7273.02039955159,6030.159060812347
1348,13242.787346501973,11002.205345440552
1349,5032.95286112527,3806.624145762536
1350,6492.9772848242455,4992.853141089692
1351,11410.182018655874,9470.287989484981
1352,11581.02813534924,9273.857069324784
1353,18598.750679910525,11390.65333391082
1354,20747.346527189922,14484.655691985387
1355,6679.730881810913,4924.40958947921
1356,12363.265397111234,10141.32380544364
1357,5231.991189872562,4002.9237582122787
1358,13956.639274564328,11769.664797446627
1359,12551.03389794791,9432.359457636217
1360,8206.63390678147,6342.644904813457
1361,9999.299138126446,7276.697315642742
