distrito,entidad,ganador_2018,pan_2018_%,pri_2018_%,morena_2018_%,pan_2015_%,pri_2015_%,morena_2015_%,candidato_pan,candidato_pri,candidato_morena,pobreza_2015_%,pobreza_extrema_2015_%,diff_pan,diff_pri,diff_morena
13,9,MORENA,0.119938407,0.084948392,0.463698788,0.102004878,0.11269047,0.231514523,DAVID RICARDO NAVA MARTINEZ,GABRIELA BERENICE OLIVA MARTINEZ,MARIO MARTIN DELGADO CARRILLO,0.170639,0.004023,0.017933529,-0.027742078,0.232184265
14,9,MORENA,0.163155764,0.084855717,0.466419931,0.155671296,0.092987163,0.279513889,HECTOR HUGO HERNANDEZ RODRIGUEZ,KARINA REYES GUILLEN,ALFONSO RAMIREZ CUELLAR,0.320647,0.017875,0.007484468,-0.008131446,0.186906042
15,9,PAN,0.36239443,0.12302486,0.321983197,0.342002428,0.108565009,0.191986423,LUIS ALBERTO MENDOZA ACEVEDO,FRANCISCO EDUARDO MORENO MERCADILLO,AUSENCIO CRUZ ANTILLON,0.049701,0.001437,0.020392002,0.014459851,0.129996774
16,9,MORENA,0.158839815,0.087035456,0.421822039,0.14152943,0.10152739,0.21548076,POLIMNIA ROMANA SIERRA BARCENA,JORGE AGUSTIN ZEPEDA CRUZ,SILVIA LORENA VILLAVICENCIO AYALA,0.278806,0.010719,0.017310385,-0.014491934,0.206341279
17,9,MORENA,0.208330025,0.168073676,0.356489445,0.201749338,0.176976637,0.160058695,LESLIE STAINES FORMOSO,ISRAEL BETANZOS CORTES,FRANCISCO JAVIER SALDIVAR CAMACHO,0.290061,0.0112625,0.006580687,-0.008902961,0.19643075
18,9,MORENA,0.130940168,0.081933648,0.435049298,0.112568489,0.096068562,0.262467192,REBECA PERALTA LEON,DAVID VALLE PERALTA,ANA MARIA RODRIGUEZ RUIZ,0.349561,0.0172,0.018371679,-0.014134914,0.172582106
19,9,MORENA,0.087785048,0.071463909,0.478885663,0.067400139,0.086339273,0.286564957,ABRIL YANNETTE TRUJILLO VAZQUEZ,ELIZABETH BELEM AGUILAR BRAVO,ALEIDA ALAVEZ RUIZ,0.349561,0.0172,0.020384909,-0.014875364,0.192320706
20,9,MORENA,0.072573224,0.072246386,0.481216845,0.046579469,0.097717004,0.256028537,PENELOPE CAMPOS GONZALEZ,SILVIA ESTHER PEREZ CEBALLOS,ANA KARINA ROJO PIMENTEL,0.349561,0.0172,0.025993755,-0.025470618,0.225188308
21,9,MORENA,0.072020367,0.097880646,0.490673778,0.047003791,0.178038551,0.2283168,OSCAR MEZA AGUILAR,JANY ROBLES ORTIZ,FLOR IVONE MORALES MIRANDA,0.4481445,0.0217895,0.025016576,-0.080157905,0.262356978
22,9,MORENA,0.054041441,0.046622012,0.481997677,0.030084297,0.060100818,0.300436311,NURY DELIA RUIZ OVANDO,MONSERRAT PEREZ CEDEÑO,VICTOR GABRIEL VARELA LOPEZ,0.349561,0.0172,0.023957144,-0.013478806,0.181561366
23,9,MORENA,0.162922245,0.083639349,0.428171734,0.143706924,0.098426731,0.216799396,CARLOS IVAN GUEVARA ROMERO,MELISSA GUADARRAMA LARA,PABLO GÓMEZ ALVAREZ,0.197799,0.005838,0.019215321,-0.014787382,0.211372338
24,9,MORENA,0.19918809,0.103645411,0.390068832,0.19163906,0.112444652,0.2194042,WENDY GONZALEZ URRUTIA,MONICA IRMA ARANA SORIANO,GUADALUPE RAMOS SOTELO,0.301234,0.0149005,0.00754903,-0.008799241,0.170664632
1,10,PRI,0.241931632,0.256430813,0.222690366,0.160604935,0.47221454,0.04692673,ROSA ISELA DE LA ROCHA NEVAREZ,ADAN SORIA RAMIREZ,MARTHA OLIVIA GARCIA VIDAÑA,0.627135083,0.15272475,0.081326697,-0.215783727,0.175763636
2,10,MORENA,0.237462194,0.195472876,0.375335164,0.171577377,0.512377575,0.059304319,AUGUSTO FERNANDO AVALOS LONGORIA,ANAVEL FERNANDEZ MARTINEZ,ALMA MARINA VITELA RODRIGUEZ,0.552145,0.0743712,0.065884817,-0.316904699,0.316030845
3,10,MORENA,0.219469786,0.225750542,0.289851034,0.172710634,0.474673373,0.055437338,JESUS EDMUNDO RAVELO DUARTE,CARLOS MATUK LOPEZ DE NAVA,MARIBEL AGUILERA CHAIREZ,0.546982882,0.034568471,0.046759152,-0.248922831,0.234413696
4,10,PAN,0.276599992,0.210725091,0.216897088,0.186328974,0.317926429,0.049010234,JORGE ALEJANDRO SALUM DEL PALACIO,PEDRO AVILA NEVAREZ,HILDA PATRICIA ORTEGA NAJERA,0.32193,0.00759,0.090271018,-0.107201338,0.167886854
1,11,PAN,0.309580016,0.201173483,0.178993961,0.416903829,0.264557651,0.024969124,ARIEL RODRIGUEZ VAZQUEZ,PETRA BARRERA BARRERA,MA ARISBETH GARCIA MONJARAS,0.625380625,0.09523425,-0.107323813,-0.063384168,0.154024837
2,11,PAN,0.347349701,0.104180266,0.254945582,0.372342392,0.212985764,0.026333888,RICARDO VILLARREAL GARCIA,JAIME CIRILO LABRADA ARAIZA,CARLOS RICARDO OLVERA AVILA,0.44369925,0.0441345,-0.024992691,-0.108805498,0.228611694
3,11,PAN,0.551712672,0.093952144,0.14363355,0.530058515,0.161742635,0.030969124,MA DE LOS ANGELES AYALA DIAZ,LAURA BELEN SERRANO RIVERA,ALIX BERENICE OROZCO CORDOVA,0.315067,0.022113,0.021654157,-0.067790491,0.112664426
4,11,PAN,0.400086907,0.160659312,0.138940034,0.321140084,0.288289166,0.026429533,JUAN CARLOS ROMERO HICKS,ANGEL EDUARDO ZAMORA GONZALEZ,ANGELICA OLGUIN CARRILLO,0.57728975,0.06005125,0.078946823,-0.127629854,0.112510501
5,11,PAN,0.516100343,0.11226425,0.149781579,0.515149653,0.17839024,0.027955762,ECTOR JAIME RAMIREZ BARBA,JAIME RICARDO KIRCHNER PLASCENCIA,MARIA DEL CARMEN ROBLES GONZALEZ,0.315067,0.022113,0.00095069,-0.06612599,0.121825817
6,11,PAN,0.50112406,0.110511464,0.161617846,0.499026329,0.220106417,0.025069057,MA DEL PILAR ORTEGA MARTINEZ,NORMA PATRICIA LOPEZ ZUÑIGA,OSCAR ANTONIO CABRERA MORON,0.315067,0.022113,0.002097731,-0.109594953,0.136548789
7,11,PAN,0.413555205,0.233267691,0.151076539,0.46987113,0.243252851,0.015012591,KAREN MICHEL GONZALEZ MARQUEZ,ADELA SAMANTHA DAVALOS ANAYA,GERARDO LÓPEZ MONTOYA,0.47592825,0.05383575,-0.056315925,-0.00998516,0.136063948
8,11,MORENA,0.290217737,0.11249295,0.294942173,0.374881709,0.130394257,0.047942623,JUSTINO EUGENIO ARRIAGA ROJAS,ROSARIO DEL CARMEN DE LA VEGA MAYAGOITIA,MARTHA ELIZABETH LUNA CRESPO,0.463430667,0.043337,-0.084663972,-0.017901307,0.24699955
9,11,PAN,0.38649024,0.163223843,0.22675355,0.393561564,0.278778448,0.04628477,JANET MELANIE MURILLO CHAVEZ,CLAUDIA BRIGIDA NAVARRETE ALDACO,ALFONSO VAZQUEZ MUÑOZ,0.402403,0.0338095,-0.007071324,-0.115554605,0.18046878
